Customer;Industry;Keywords;Highlights;Confidentiality;Link;Comments
Swisscom;telecom;#cms,#costs,#personalization,#localization,#abtesting;Time savings through seamless workflows,Personalized campaign messaging for customers,Localized experiences for customers anywhere,40% uplift through testing with Adobe Target;Public;https://business.adobe.com/customer-success-stories/swisscom-case-study.html
T-Mobile;telecom;#cms,#speed,#personalization;Delivered truly targeted banners that increased conversion from 9% to 34%,Reduced page load times by 80% leading to increased views and adoption,Increased the number of customers updating their own accounts by 23%,Watched mobile web traffic grown to 65% of all traffic due to mobile-friendlier designs;Public;https://business.adobe.com/summit/community/deep-dives/t-mobile.html
CIBC;finserv;#cms,#personalization,#effort,#cx,#optimization;Mobile conversion rates have risen 1.5x and web page conversions have nearly doubled,Teams are saving tens of hours per day on content related development and management,JD Powers ranked CIBC #1 for customer satisfaction among mobile banking apps in 2020,100k less phone calls to the call-center with solutions avaiable at the portal,Reuse of content based in customer audiences and behavior;Public;https://business.adobe.com/customer-success-stories/cibc-case-study.html
Walmart;retail;#cms,#ee,#employeexperience,#portal,#autotag,#personalization,#ai,#ml;Integrated solution with Adobe Experience Manager + Analytics + Target + Commerce,Personalization based on the employee’s role (from store associates and data scientists to mechanics and marketers),Auto tags powered by Adobe’ Sensei AI to help with the organization and make content searchable,***Below is Confidential (just mention - do not share)***,*1M unique visitors per day,*41% decrease in YoY cost and 46% increase in NPS,*2000 active authors and 85 re-usable components;Public and some Confidential;https://blog.adobe.com/en/publish/2020/07/08/walmart-built-one-of-the-worlds-largest-intranets-when-covid-19-hit-it-became-one-of-its-most-important-assets
Caesars Entertainment;travel hospitality;#cms,#omnichannel,#loyalty,#personalization,#optimization;70% increase in conversion rate by optimizing web interface,10% increase in loyalty program sign-up,Guests interact in different screens and 60% make the purchase decision during the trip - so omnichannel is key,Quantified design decisions to target and optimize content;Public;https://blog.adobe.com/en/publish/2019/03/26/caesars-entertainment-customizes-experiences-with-technology-transformation
Walgreens ;retail;#cms,#omnichannel,#headless;50% increase in overall traffic,30% increase in usage for mobile app,100M download for mobile app,content is used in any channel (commerce & mobile app & push notifications for customers nearby stores to getting a vaccine);Public;https://business.adobe.com/customer-success-stories/walgreens-boots-alliance-case-study.html
Esri ArcGis;tech;#cms,#dam,#workfront;16 teams working together,25% reduction for duplicated assets,From 2w to 1.5hr for approval processes;Public;https://business.adobe.com/customer-success-stories/esri-case-study.html
Philips;cpg;#cms,#personalization,#abtesting;"3x traffic increase for mobile devices,20% increase in click-thru rate testing ""Buy"" button in different variations,Multivariate tests to get insights and optimize content,-635% increase in sigups,-15% increase in product views,-28% increase in products purchase";Public;https://business.adobe.com/customer-success-stories/philips-case-study.html
Playstation;tech;#cms,#timetovalue;800% faster to create new sections in the site,8x growth in site visitors through positioning of recent and updated content,40% improve in bounce rate;Public;https://business.adobe.com/customer-success-stories/sony-interactive-entertainment-case-study.html
Bose;cpg;#cms,#agility;Experience League as a training hub for the internal teams to help in the career development and skills creation,6 ambassadors for Adobe solution to share information and knowledge for internal coworkers;Public;https://business.adobe.com/customer-success-stories/bose-case-study.html
