#;Solution;Capability;Feature;Title;Type;Keywords;Link
1;AEMS;Authoring;Core Components;;None;;
2;AEMS;Authoring;Adobe XD UI Kit;Prototype wiith Adobe XD;spot;#adobexd,#xd,#prototype,#design;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/bbf0c44f-5e58-42c0-98ac-c661d7d6c5a2
3;AEMS;Authoring;Style System;Style System with Design Variations;spot;#designsystem,#style,#variation;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/bd16bd9e-7a35-4cd2-8641-8423a98eb986
4;AEMS;Authoring;Editable Templates;Quick Site Creation with Templates;spot;#sitecreation,#quicksite,#template;
5;AEMS;Authoring;Page Authoring;Page Authoring with Components;spot;#authoring,#page;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/a54c7407-d0bd-4ef1-b5b8-d0f1a77c67de
5;AEMS;Authoring;Page Authoring;Responsive Page Authoring with Components;spot;#authoring,#page,#responsive;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/335dec93-0fcc-48aa-90e4-e25e916c71dc
6;AEMA;Authoring;Metadata;Metadata Governance;spot;#metadata,#asset,#attribute,#governance;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/c9353c13-c72c-4bda-804b-9fc52c67d096
7;AEMS;Authoring;SEO;;None;;
8;AEMS;Authoring;Quick site;Quick Site Creation with Templates;spot;#sitecreation,#quicksite,#template;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/fe132512-0f81-456a-a1c4-2c08cb871de6
9;AEMS;Authoring;Multisite;Multisite Management;None;;
9;AEMA;Authoring;Content Automation;Auomate your image creation and edition;spot;"#assets,#photoshop,#contentautomation;#filters";https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/fa446b3d-51a9-4ae6-8014-a15efc4ec77a
10;AEMA;Collaboration;Asset link;Creative Cloud (Photoshop) integration;spot;#creativecloud,#photoshop,#integration;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/0a968ef4-84c2-4dd8-8541-d6878630dd58
11;AEMA;Collaboration;Workflow;Workflow to process your assets;spot;#dam,#workflow,#process,#bpm,#profile;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/c89b2e0b-ccd0-4c37-a073-4e08b2e64ac2
12;AEMA;Collaboration;Annotation;Image and Video Annotation for Workflow;spot;#annotation,#workflow;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/16c3b2c7-0c45-40a7-9ed2-eec642a7e991
13;AEM;Collaboration;Permission;;None;;
14;AEMA;Collaboration;Versioning;Media Versioning and Comparison;spot;#asset,#version,#comparison;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/9aa2c6ac-988c-449b-987c-aa74501a6f3a
15;AEMF;Collaboration;Data mapping and workflow form submission;Data Integration and Workflow;quick;#form,#integration,#salesforce,#workflow;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/b832d397-6214-489f-913f-fcf9f551f2e7
16;AEMS;Fluid Experiences;Content Fragment Editor;Content Fragment Editor;spot;#contentfragment,#cf,#headless;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/a8529af4-b64e-4c01-9d10-0065e99fab56
17;AEMS;Fluid Experiences;Content Fragment (JSON/HTML);Content Variations for specific channels;spot;#contentfragment,#cf,#omnichannel,#variation;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/7d612239-92c8-446d-9fc2-784682e002fb
17;AEMS;Fluid Experiences;Experience Fragment;Variations for your content with Experience Fragments;spot;#xf,#experiencefragment,#variation,#content,#omnichannel;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/290e736d-671d-473e-b7c8-49cfcfed5332
17;AEMS;Fluid Experiences;Experience Fragment;Responsive Components with Experience Fragments;spot;#responsive,#experiencefragment,#xf;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/b1811caf-4688-45f4-b84c-4500aaf3860b
18;AEMS;Fluid Experiences;PWA;Make any page a PWA;None;;
19;AEMS;Fluid Experiences;SPA;SPA Editor with in-context editing;spot;#spa,#authoring,#javascript,#react,#angular,#incontext;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/d5bdb849-849f-4a03-970c-eab56fefb419
19;AEMS;Fluid Experiences;SPA;Remote SPA to proxy your Javascript application;spot;#spa,#developer,#javascript,#react,#angular,#incontext;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/97e4cda7-49b2-4ae9-a804-74027ec41cbc
20;AEMS;Analytics;Content Insights;Insights for your content;None;;
20;AEMA;Analytics;Assets Insights;Insights to understand how your assets are performing;spot;#asset,#insights,#performance,#analytics;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/db5f3e6e-e7f8-4104-96ed-0787ec1bee26
21;AEMS;Analytics;Analytics Insights;Analytics with Setup Automated for AEM Site Performance;spot;#sites,#performance,#analytics,#siteperformance;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/818e24d6-2c43-4b6c-afbb-b8fcd3640680
22;AEMS;Personalization;Contextualization;Contextualization for logged users;spot;#personalization,#contextualization,#authenticated,#portal;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/ca64ae73-47f8-423f-999e-3c74abf9bede
23;AEMS;Personalization;Experience Fragment to Adobe Target;Experience Fragments for Personalization & AB Test with Adobe Target;quick;#xf,#experiencefragment,#abtest,#personalization,#target;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/09d90a5e-e5f1-4874-9686-db849363a30b
23;AEMS;Personalization;Experimentation at Marriot;Experimentation of experiences at Marriot digital chanels;spot;#personalization,#abtest,#experimentation,#target;
23;AEMF;Personalization;A/B Tests;AB Tests for your Digital Forms to target your audience;spot;#form,#personalization,#optimization,#abtest;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/8ce8da85-5dd0-43d0-812c-6ce6a7b9b570
24;AEMA;Artificial Intelligence;Search;Intelligent Search by Similar Images using AI;spot;#search,#ai,#sensei,#similarimages;https://assets.adobe.com/public/c06027c8-9b85-4c0e-7ba7-7e0364fc7049/37a8e710-4f7e-4421-9674-e4f73b056145
